PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
A1877;FA1D6;RING,RETAINING;EA;13,72
744238-1;73030;SHAFT;EA;26404,05
MS27643-4;81343;BEARING,BALL,AIRFRAME, LUBRICATION MATERIAL GREASE MIL-G-81322 MIL SPEC;EA;281,51
57B1843;24692;FELT,MECHANICAL,PREFORMED;EA;45,09
B6551;17472;COUPLING;EA;2893,67
A2048-2;24692;WASHER;EA;18,91
522-0688-013;5211;ANTENNA;EA;4479,36
PRP909-7;24692;RING SHAFT;EA;32,72
M5757/10-035;81349;RELAY,ELECTROMAGNETIC;EA;346,85
MS9276-09;80205;WASHER;EA;11,45
MS35265-29;96906;SCREW MACHINE;EA;105,5
MS21250-05036;96906;BOLT,SHEAR;EA;79,99
MS26574-3A;81349;CIRCUIT BREAKER;EA;117,9
AS3209-159;0U583;PACKING,PREFOR;EA;38,54
AS5406-04;81343;NIPPLE,TUBE;EA;33,01
AN4H22A;88044;BOLT,MACHINE;EA;508,53
MS21902W4;81343;NIPPLE,BOSS;EA;27,32
MS35275-202;96906;SCREW,MACHINE;EA;1,11
MS27308-2;96906;BUS,CONDUCTOR,CONNECTOR BAT;EA;138,11
14264;66640;BOLT STEEL;EA;53,3
ES500-6-33;17472;SCREW, MACHINE;EA;120,19
10-10001;25693;CLAMP;EA;84,36
HL2277-6-5;73197;REBITE HC-LOK;EA;24,08
S67-2002;13691;ANTENNA, RADIO ALTIM;EA;3174,52
M83248/1-126;81349;PACKING;EA;7,9
C-3317-347-2;24692;GASKET;EA;39,46
40863G-02;71483;CUSHION, EAR;EA;186,2
165-34;2660;CONNECTOR,PLUG,ELECTRICAL;EA;68,46
MS21902D5;96906;NIPPLE,BOSS;EA;29,79
U3356S1-150;94581;COUPLING,CLAMP,GROOVED;EA;274,41
A1852;FA1D6;RING GUIDE;EA;608,51
A1854;24692;RING,RETAINING;EA;26,69
AN150540;81343;STUD,STEPPED;EA;872,18
MS16998-55;96906;SCREW,CAP,SOCKET HEAD;EA;12,95
12840G-01;71483;REPAIR KIT,BOOM GUIDE;EA;63,6
3SAV1044A3;1526;RELAY;EA;172,7
MS14145L8;80205;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;72,93
